"id","survey_year","female","age","n_persons","n_children","years_educ","income","employed","employed_id","sector","sector_id"
194,2015,TRUE,59,2,0,10.5,28678.943359375,"[2] Employed part-time",2,"[84] Public administration and defense; compulsory social security",84
194,2016,TRUE,60,2,0,10.5,19962.29296875,"[2] Employed part-time",2,"[84] Public administration and defense; compulsory social security",84
194,2017,TRUE,61,2,0,10.5,22227.67578125,"[2] Employed part-time",2,"[84] Public administration and defense; compulsory social security",84
194,2018,TRUE,62,2,0,10.5,22100.37890625,"[2] Employed part-time",2,"[84] Public administration and defense; compulsory social security",84
194,2019,TRUE,63,2,0,10.5,23157.919921875,"[2] Employed part-time",2,"[84] Public administration and defense; compulsory social security",84
19052,2015,TRUE,74,2,0,10,0,"[5] Not employed",5,NA,NA
27495,2016,TRUE,35,3,1,15,14430.2646484375,"[5] Not employed",5,NA,NA
27495,2018,TRUE,37,3,1,15,48435.13671875,"[1] Employed full-time",1,NA,NA
27495,2019,TRUE,38,3,1,15,53623.96484375,"[1] Employed full-time",1,"[84] Public administration and defense; compulsory social security",84
22539,2015,FALSE,85,2,0,18,0,"[5] Not employed",5,NA,NA
13224,2015,TRUE,73,1,0,10.5,0,"[5] Not employed",5,NA,NA
13224,2016,TRUE,74,1,0,10.5,0,"[5] Not employed",5,NA,NA
17316,2015,FALSE,43,4,2,15,41679.8984375,"[1] Employed full-time",1,"[88] Social services (excluding homes)",88
17316,2016,FALSE,44,4,2,15,39990.83203125,"[1] Employed full-time",1,"[88] Social services (excluding homes)",88
17316,2017,FALSE,45,4,2,15,34152.5078125,"[1] Employed full-time",1,"[87] Homes (excluding rest homes and vacation homes)",87
17316,2018,FALSE,46,4,2,15,45108.81640625,"[1] Employed full-time",1,"[87] Homes (excluding rest homes and vacation homes)",87
17316,2019,FALSE,47,4,2,15,40568.65625,"[1] Employed full-time",1,"[85] Education and teaching",85
2644,2015,TRUE,55,2,0,13,0,"[5] Not employed",5,NA,NA
2644,2016,TRUE,56,2,0,13,0,"[5] Not employed",5,NA,NA
2644,2017,TRUE,57,2,0,13,0,"[5] Not employed",5,NA,NA
2644,2018,TRUE,58,2,0,13,0,"[5] Not employed",5,NA,NA
2644,2019,TRUE,59,2,0,13,0,"[5] Not employed",5,NA,NA
5910,2015,TRUE,23,2,0,13,0,"[4] Irregular employment or in marginal",4,"[56] Gastronomy",56
5910,2017,TRUE,25,2,0,13,0,"[5] Not employed",5,NA,NA
5910,2019,TRUE,27,2,0,13,4535.74462890625,"[4] Irregular employment or in marginal",4,"[56] Gastronomy",56
22045,2015,FALSE,71,1,0,18,0,"[5] Not employed",5,NA,NA
22045,2016,FALSE,72,1,0,18,0,"[5] Not employed",5,NA,NA
22045,2017,FALSE,73,1,0,18,0,"[5] Not employed",5,NA,NA
19788,2015,FALSE,76,2,0,15,0,"[5] Not employed",5,NA,NA
19788,2016,FALSE,77,2,0,15,0,"[5] Not employed",5,NA,NA
19788,2017,FALSE,78,2,0,15,0,"[5] Not employed",5,NA,NA
6998,2015,FALSE,53,2,0,10,0,"[5] Not employed",5,NA,NA
6998,2016,FALSE,54,2,0,10,0,"[5] Not employed",5,NA,NA
6998,2017,FALSE,55,2,0,10,0,"[5] Not employed",5,NA,NA
6998,2018,FALSE,56,2,0,10,0,"[5] Not employed",5,NA,NA
6998,2019,FALSE,57,2,0,10,0,"[5] Not employed",5,NA,NA
18109,2015,FALSE,70,2,0,16,0,"[5] Not employed",5,NA,NA
18109,2016,FALSE,71,2,0,16,0,"[5] Not employed",5,NA,NA
18109,2017,FALSE,72,2,0,16,0,"[5] Not employed",5,NA,NA
9445,2015,FALSE,78,1,0,10.5,0,"[5] Not employed",5,NA,NA
28255,2015,FALSE,55,1,0,11.5,32883.76953125,"[2] Employed part-time",2,"[18] Manufacture of printed matter; reproduction of recorded sound, image and data carriers",18
28255,2016,FALSE,56,1,0,11.5,29416.6484375,"[2] Employed part-time",2,"[18] Manufacture of printed matter; reproduction of recorded sound, image and data carriers",18
28255,2017,FALSE,57,1,0,11.5,26127.080078125,"[2] Employed part-time",2,"[46] Wholesale trade (excl. trade in motor vehicles and motorcycles)",46
28255,2018,FALSE,58,1,0,11.5,24900.876953125,"[2] Employed part-time",2,"[46] Wholesale trade (excl. trade in motor vehicles and motorcycles)",46
28255,2019,FALSE,59,1,0,11.5,25596.65625,"[2] Employed part-time",2,"[18] Manufacture of printed matter; reproduction of recorded sound, image and data carriers",18
16297,2015,TRUE,51,2,1,12,16387.169921875,"[2] Employed part-time",2,"[86] Healthcare",86
16297,2016,TRUE,52,2,1,12,17220.6953125,"[1] Employed full-time",1,"[86] Healthcare",86
16297,2017,TRUE,53,2,1,12,15094.2998046875,"[2] Employed part-time",2,"[86] Healthcare",86
18367,2015,TRUE,20,2,0,NA,3957.80322265625,"[4] Irregular employment or in marginal",4,"[46] Wholesale trade (excl. trade in motor vehicles and motorcycles)",46
18367,2016,TRUE,21,2,0,13,4540.1357421875,"[3] Training, apprenticeship",3,"[64] Provision of financial services",64
18367,2017,TRUE,22,2,0,13,13299.431640625,"[3] Training, apprenticeship",3,"[64] Provision of financial services",64
18367,2018,TRUE,23,2,0,14.5,8571.818359375,"[1] Employed full-time",1,"[64] Provision of financial services",64
18367,2019,TRUE,24,2,0,14.5,28104.236328125,"[1] Employed full-time",1,"[64] Provision of financial services",64
13999,2015,TRUE,38,4,2,10.5,0,"[5] Not employed",5,NA,NA
13999,2016,TRUE,39,4,2,10.5,0,"[5] Not employed",5,NA,NA
13999,2017,TRUE,40,4,2,10.5,12114.2236328125,"[2] Employed part-time",2,NA,NA
13999,2018,TRUE,41,4,2,10.5,15673.345703125,"[2] Employed part-time",2,NA,NA
13999,2019,TRUE,42,4,2,10.5,16131.599609375,"[2] Employed part-time",2,NA,NA
10343,2015,FALSE,56,5,1,18,0,"[1] Employed full-time",1,"[1] Agriculture, hunting and related activities",1
10343,2016,FALSE,57,5,0,18,0,"[1] Employed full-time",1,"[1] Agriculture, hunting and related activities",1
10343,2017,FALSE,58,5,0,18,0,"[1] Employed full-time",1,"[1] Agriculture, hunting and related activities",1
10343,2018,FALSE,59,3,0,18,0,"[1] Employed full-time",1,"[1] Agriculture, hunting and related activities",1
10343,2019,FALSE,60,3,0,18,0,"[1] Employed full-time",1,"[1] Agriculture, hunting and related activities",1
4391,2015,FALSE,62,2,0,12,40777.46484375,"[1] Employed full-time",1,"[86] Healthcare",86
4391,2016,FALSE,63,2,0,12,45689.21484375,"[1] Employed full-time",1,"[86] Healthcare",86
4391,2017,FALSE,64,2,0,12,41778.33203125,"[1] Employed full-time",1,"[86] Healthcare",86
4391,2018,FALSE,65,2,0,12,43650.9375,"[1] Employed full-time",1,"[86] Healthcare",86
4391,2019,FALSE,66,2,0,12,17791.421875,"[5] Not employed",5,NA,NA
11570,2015,FALSE,74,2,0,10.5,0,"[5] Not employed",5,NA,NA
16332,2015,FALSE,57,2,0,12,42868.67578125,"[1] Employed full-time",1,"[84] Public administration and defense; compulsory social security",84
29418,2015,TRUE,55,2,0,11.5,0,"[5] Not employed",5,NA,NA
29418,2016,TRUE,56,3,0,11.5,0,"[5] Not employed",5,NA,NA
29418,2017,TRUE,57,3,0,11.5,0,"[5] Not employed",5,NA,NA
29418,2018,TRUE,58,3,0,11.5,0,"[5] Not employed",5,NA,NA
22245,2015,FALSE,46,4,2,11,38567.54296875,"[1] Employed full-time",1,"[86] Healthcare",86
22245,2016,FALSE,47,4,1,11,37413.26171875,"[1] Employed full-time",1,"[86] Healthcare",86
22245,2017,FALSE,48,4,1,11,37627.01953125,"[1] Employed full-time",1,"[86] Healthcare",86
22245,2018,FALSE,49,4,1,11,45906.828125,"[1] Employed full-time",1,"[86] Healthcare",86
22245,2019,FALSE,50,4,1,11,45798.921875,"[1] Employed full-time",1,"[86] Healthcare",86
19876,2019,FALSE,17,4,1,NA,0,"[5] Not employed",5,NA,NA
27168,2015,FALSE,89,2,0,16,0,"[5] Not employed",5,NA,NA
27168,2016,FALSE,90,2,0,16,0,"[5] Not employed",5,NA,NA
14975,2015,FALSE,58,3,0,11.5,52476.2890625,"[1] Employed full-time",1,"[84] Public administration and defense; compulsory social security",84
14975,2016,FALSE,59,2,0,11.5,48530,"[1] Employed full-time",1,"[84] Public administration and defense; compulsory social security",84
14975,2017,FALSE,60,2,0,11.5,54241.8046875,"[1] Employed full-time",1,"[84] Public administration and defense; compulsory social security",84
14975,2018,FALSE,61,2,0,11.5,54819.62890625,"[1] Employed full-time",1,"[84] Public administration and defense; compulsory social security",84
14975,2019,FALSE,62,2,0,11.5,55300.5703125,"[1] Employed full-time",1,"[84] Public administration and defense; compulsory social security",84
26605,2015,TRUE,44,5,2,15,0,"[5] Not employed",5,NA,NA
11403,2015,FALSE,75,2,0,10.5,0,"[5] Not employed",5,NA,NA
11403,2016,FALSE,76,2,0,10.5,0,"[5] Not employed",5,NA,NA
11403,2017,FALSE,77,2,0,10.5,0,"[5] Not employed",5,NA,NA
30062,2015,FALSE,47,1,0,9,0,"[5] Not employed",5,NA,NA
30062,2016,FALSE,48,1,0,9,0,"[5] Not employed",5,NA,NA
30062,2017,FALSE,49,1,0,9,0,"[5] Not employed",5,NA,NA
1820,2015,FALSE,66,2,0,13.5,0,"[5] Not employed",5,NA,NA
1820,2016,FALSE,67,2,0,13.5,0,"[5] Not employed",5,NA,NA
1820,2017,FALSE,68,2,0,13.5,0,"[2] Employed part-time",2,"[47] Retail trade (excluding motor vehicles and motorcycles)",47
1820,2018,FALSE,69,2,0,13.5,4547.2294921875,"[2] Employed part-time",2,"[47] Retail trade (excluding motor vehicles and motorcycles)",47
1820,2019,FALSE,70,2,0,13.5,4575.3154296875,"[4] Irregular employment or in marginal",4,"[53] Postal, courier and express services",53
15657,2015,FALSE,43,1,0,14.5,87173.0546875,"[1] Employed full-time",1,"[64] Provision of financial services",64
15657,2016,FALSE,44,1,0,14.5,51607.73828125,"[1] Employed full-time",1,"[64] Provision of financial services",64
15657,2017,FALSE,45,1,0,14.5,94902.7578125,"[1] Employed full-time",1,"[64] Provision of financial services",64
15657,2018,FALSE,46,1,0,14.5,93169.3125,"[5] Not employed",5,NA,NA
15657,2019,FALSE,47,1,0,14.5,83278.546875,"[1] Employed full-time",1,"[64] Provision of financial services",64
16673,2015,FALSE,66,1,0,11.5,0,"[5] Not employed",5,NA,NA
16673,2016,FALSE,67,1,0,11.5,0,"[5] Not employed",5,NA,NA
16673,2017,FALSE,68,1,0,11.5,0,"[5] Not employed",5,NA,NA
16673,2018,FALSE,69,1,0,11.5,0,"[5] Not employed",5,NA,NA
16673,2019,FALSE,70,1,0,11.5,0,"[5] Not employed",5,NA,NA
12360,2015,TRUE,65,2,0,12,0,"[5] Not employed",5,NA,NA
12360,2016,TRUE,66,2,0,12,0,"[5] Not employed",5,NA,NA
12360,2017,TRUE,67,2,0,12,0,"[5] Not employed",5,NA,NA
12360,2018,TRUE,68,2,0,12,0,"[5] Not employed",5,NA,NA
12360,2019,TRUE,69,2,0,12,0,"[5] Not employed",5,NA,NA
3151,2015,TRUE,53,2,0,15,45162.95703125,"[2] Employed part-time",2,"[49] Land transport and transport in pipelines",49
3151,2016,TRUE,54,2,0,15,44700.08203125,"[2] Employed part-time",2,"[49] Land transport and transport in pipelines",49
3151,2017,TRUE,55,2,0,15,47570.671875,"[2] Employed part-time",2,"[49] Land transport and transport in pipelines",49
3151,2018,TRUE,56,2,0,15,46687.8203125,"[2] Employed part-time",2,"[49] Land transport and transport in pipelines",49
3151,2019,TRUE,57,2,0,15,46254.28515625,"[2] Employed part-time",2,"[49] Land transport and transport in pipelines",49
4493,2015,TRUE,52,3,0,11.5,42590.08203125,"[2] Employed part-time",2,"[20] Manufacture of chemical products",20
4493,2016,TRUE,53,3,0,11.5,46210.3359375,"[2] Employed part-time",2,"[20] Manufacture of chemical products",20
4493,2017,TRUE,54,3,0,11.5,45583.76953125,"[1] Employed full-time",1,"[20] Manufacture of chemical products",20
4493,2018,TRUE,55,3,0,11.5,54205.25,"[1] Employed full-time",1,"[20] Manufacture of chemical products",20
4493,2019,TRUE,56,3,0,11.5,59557.26171875,"[1] Employed full-time",1,"[20] Manufacture of chemical products",20
6075,2015,TRUE,57,1,0,11.5,26602.4609375,"[2] Employed part-time",2,"[60] Broadcaster",60
6075,2016,TRUE,58,1,0,11.5,15706.9580078125,"[4] Irregular employment or in marginal",4,"[45] Trade in motor vehicles",45
6075,2017,TRUE,59,1,0,11.5,13191.4877929688,"[2] Employed part-time",2,"[65] Insurance, reinsurance and pension funds (excluding social security)",65
6075,2018,TRUE,60,1,0,11.5,14046.6826171875,"[5] Not employed",5,NA,NA
6557,2015,FALSE,60,1,0,12,0,"[5] Not employed",5,NA,NA
6557,2016,FALSE,61,1,0,12,0,"[5] Not employed",5,NA,NA
6557,2017,FALSE,62,1,0,12,0,"[5] Not employed",5,NA,NA
6557,2018,FALSE,63,1,0,12,0,"[5] Not employed",5,NA,NA
6557,2019,FALSE,64,1,0,12,0,"[5] Not employed",5,NA,NA
15679,2015,FALSE,76,2,0,18,0,"[5] Not employed",5,NA,NA
15679,2016,FALSE,77,2,0,18,0,"[5] Not employed",5,NA,NA
15679,2017,FALSE,78,2,0,18,0,"[5] Not employed",5,NA,NA
15679,2018,FALSE,79,2,0,18,0,"[5] Not employed",5,NA,NA
15679,2019,FALSE,80,2,0,18,0,"[5] Not employed",5,NA,NA
28952,2015,TRUE,74,2,0,12,0,"[5] Not employed",5,NA,NA
28952,2016,TRUE,75,2,0,12,0,"[5] Not employed",5,NA,NA
19982,2015,FALSE,69,1,0,11,6496.82666015625,"[4] Irregular employment or in marginal",4,"[35] Energy supply",35
19982,2016,FALSE,70,1,0,11,7087.35595703125,"[4] Irregular employment or in marginal",4,"[35] Energy supply",35
19982,2017,FALSE,71,1,0,11,6954.34521484375,"[4] Irregular employment or in marginal",4,"[74] Other freelance, scientific and technical activities",74
19982,2018,FALSE,72,1,0,11,5837.658203125,"[4] Irregular employment or in marginal",4,"[74] Other freelance, scientific and technical activities",74
19982,2019,FALSE,73,1,0,11,41780.51953125,"[4] Irregular employment or in marginal",4,NA,NA
15337,2015,TRUE,65,1,0,16,12884.88671875,"[1] Employed full-time",1,"[87] Homes (excluding rest homes and vacation homes)",87
15337,2016,TRUE,66,2,0,16,33032.69921875,"[5] Not employed",5,NA,NA
15337,2017,TRUE,67,1,0,16,3203.36328125,"[4] Irregular employment or in marginal",4,"[56] Gastronomy",56
15337,2018,TRUE,68,1,0,16,1762.99487304688,"[4] Irregular employment or in marginal",4,"[47] Retail trade (excluding motor vehicles and motorcycles)",47
15337,2019,TRUE,69,1,0,16,4634.91464233398,"[4] Irregular employment or in marginal",4,"[56] Gastronomy",56
19332,2015,FALSE,65,2,0,11.5,45721.10546875,"[1] Employed full-time",1,"[84] Public administration and defense; compulsory social security",84
19332,2016,FALSE,66,2,0,11.5,11020.7353515625,"[5] Not employed",5,NA,NA
