,n_estimators,random_state,n_jobs,max_features,min_samples_split,min_samples_leaf,crps
cpu_act,1000.0,7531.0,-1.0,0.5,5.0,1.0,1.2058043264127902
pol,1000.0,7531.0,-1.0,0.5,5.0,1.0,1.0773402245489463
elevators,1000.0,7531.0,-1.0,1.0,5.0,2.0,0.001374173974037912
wine_quality,1000.0,7531.0,-1.0,0.333,5.0,1.0,0.2930211088937041
Ailerons,1000.0,7531.0,-1.0,1.0,5.0,2.0,8.278224538234088e-05
houses,1000.0,7531.0,-1.0,1.0,5.0,2.0,0.11512662393324599
house_16H,1000.0,7531.0,-1.0,0.5,5.0,1.0,0.19929403979274302
diamonds,1000,7531,-1,sqrt,5,10,0.12865401700059587
Brazilian_houses,1000.0,7531.0,-1.0,1.0,5.0,1.0,0.015283653758569646
Bike_Sharing_Demand,1000.0,7531.0,-1.0,0.5,5.0,6.0,46.283402416980664
nyc-taxi-green-dec-2016,1000.0,7531.0,-1.0,1.0,5.0,4.0,0.11673312880021805
house_sales,1000.0,7531.0,-1.0,0.5,5.0,1.0,0.09463235920981276
sulfur,1000.0,7531.0,-1.0,1.0,5.0,1.0,0.012630523756801787
medical_charges,1000.0,7531.0,-1.0,1.0,5.0,50.0,0.035700900205954046
MiamiHousing2016,1000.0,7531.0,-1.0,0.5,5.0,1.0,0.08067863341517277
superconduct,1000.0,7531.0,-1.0,0.333,5.0,2.0,3.843793329228421
yprop_4_1,1000.0,7531.0,-1.0,0.333,5.0,6.0,0.013607391857859993
delays_zurich_transport,1000.0,7531.0,-1.0,0.333,5.0,50.0,1.639760806753039
