,n_estimators,random_state,n_jobs,max_features,min_samples_split,min_samples_leaf,se
cpu_act,1000.0,7531.0,-1.0,0.5,5.0,1.0,6.021584987640381
pol,1000.0,7531.0,-1.0,0.5,5.0,1.0,24.07613182067871
elevators,1000.0,7531.0,-1.0,1.0,5.0,1.0,8.087497917586006e-06
wine_quality,1000.0,7531.0,-1.0,0.333,5.0,1.0,0.4113842844963074
Ailerons,1000.0,7531.0,-1.0,1.0,5.0,2.0,2.716721425599644e-08
houses,1000.0,7531.0,-1.0,1.0,5.0,2.0,0.05432760715484619
house_16H,1000.0,7531.0,-1.0,0.5,5.0,1.0,0.3362237513065338
diamonds,1000,7531,-1,sqrt,5,8,0.054904282093048096
Brazilian_houses,1000.0,7531.0,-1.0,1.0,5.0,1.0,0.006201859563589096
Bike_Sharing_Demand,1000.0,7531.0,-1.0,1.0,5.0,10.0,10222.75
nyc-taxi-green-dec-2016,1000.0,7531.0,-1.0,1.0,5.0,4.0,0.1260125532707869
house_sales,1000.0,7531.0,-1.0,0.5,5.0,1.0,0.034014713019132614
sulfur,1000,7531,-1,sqrt,5,1,0.0013813318219035864
medical_charges,1000.0,7531.0,-1.0,1.0,5.0,50.0,0.0065998622786718406
MiamiHousing2016,1000.0,7531.0,-1.0,0.333,5.0,1.0,0.026505451649427414
superconduct,1000.0,7531.0,-1.0,0.333,5.0,1.0,95.4623794555664
yprop_4_1,1000,7531,-1,sqrt,5,2,0.0007121008820831776
delays_zurich_transport,1000.0,7531.0,-1.0,0.333,5.0,50.0,9.486824027104088
