,n_estimators,random_state,n_jobs,max_features,min_samples_split,min_samples_leaf,crps
cpu_act,1000.0,7531.0,-1.0,0.333,5.0,4.0,1.4605140462108288
pol,1000.0,7531.0,-1.0,0.333,5.0,20.0,1.3407224784713705
elevators,1000.0,7531.0,-1.0,0.5,5.0,4.0,0.0016514843882511408
wine_quality,1000.0,7531.0,-1.0,0.333,5.0,8.0,0.37218594793492543
Ailerons,1000.0,7531.0,-1.0,0.5,5.0,20.0,0.0001041063769860313
houses,1000.0,7531.0,-1.0,0.5,5.0,4.0,0.1410055431227464
house_16H,1000,7531,-1,sqrt,5,8,0.2500246103053725
diamonds,1000.0,7531.0,-1.0,0.333,5.0,50.0,0.16452057664988226
Brazilian_houses,1000.0,7531.0,-1.0,1.0,5.0,1.0,0.016648769085277043
Bike_Sharing_Demand,1000,7531,-1,sqrt,5,15,57.5714498030592
nyc-taxi-green-dec-2016,1000.0,7531.0,-1.0,1.0,5.0,8.0,0.1542176484146169
house_sales,1000.0,7531.0,-1.0,0.5,5.0,6.0,0.11771600274036657
sulfur,1000,7531,-1,sqrt,5,2,0.013899123193403116
medical_charges,1000.0,7531.0,-1.0,0.333,5.0,15.0,0.04745325462389783
MiamiHousing2016,1000,7531,-1,sqrt,5,8,0.09485837170571709
superconduct,1000.0,7531.0,-1.0,0.333,5.0,6.0,4.4021528785057145
yprop_4_1,1000,7531,-1,sqrt,5,50,0.017391246308280633
delays_zurich_transport,1000.0,7531.0,-1.0,0.5,5.0,4.0,2.1649363941590085
