,n_estimators,random_state,n_jobs,max_features,min_samples_split,min_samples_leaf,se
cpu_act,1000,7531,-1,sqrt,5,2,6.4612546
pol,1000,7531,-1,sqrt,5,20,32.519814
elevators,1000.0,7531.0,-1.0,0.5,5.0,6.0,7.827374e-06
wine_quality,1000.0,7531.0,-1.0,0.333,5.0,6.0,0.3961499
Ailerons,1000.0,7531.0,-1.0,0.5,5.0,15.0,3.0331694e-08
houses,1000.0,7531.0,-1.0,0.5,5.0,4.0,0.05804555
house_16H,1000,7531,-1,sqrt,5,20,0.35772604
diamonds,1000.0,7531.0,-1.0,0.333,5.0,50.0,0.062501
Brazilian_houses,1000.0,7531.0,-1.0,1.0,5.0,2.0,0.0041881655
Bike_Sharing_Demand,1000,7531,-1,sqrt,5,6,10724.229
house_sales,1000.0,7531.0,-1.0,0.5,5.0,6.0,0.039445937
sulfur,1000,7531,-1,sqrt,5,1,0.0010562598
MiamiHousing2016,1000,7531,-1,sqrt,5,2,0.024765639
superconduct,1000.0,7531.0,-1.0,0.5,5.0,2.0,87.62086
yprop_4_1,1000,7531,-1,sqrt,5,30,0.001134834
