,n_estimators,random_state,n_jobs,max_features,min_samples_split,min_samples_leaf,crps
cpu_act,1000.0,7531.0,-1.0,0.333,5.0,4.0,1.4759543905385129
pol,1000,7531,-1,sqrt,5,20,1.4384272019218722
elevators,1000.0,7531.0,-1.0,0.5,5.0,6.0,0.0016138183639380248
wine_quality,1000.0,7531.0,-1.0,0.333,5.0,8.0,0.30987988320568455
Ailerons,1000.0,7531.0,-1.0,0.5,5.0,10.0,0.00010334369780511132
houses,1000.0,7531.0,-1.0,0.5,5.0,4.0,0.14002780182912639
house_16H,1000.0,7531.0,-1.0,0.333,5.0,15.0,0.24690148176421797
diamonds,1000.0,7531.0,-1.0,0.333,5.0,30.0,0.1636062998429421
Brazilian_houses,1000.0,7531.0,-1.0,1.0,5.0,2.0,0.015232533143912985
Bike_Sharing_Demand,1000,7531,-1,sqrt,5,8,55.24408316003254
house_sales,1000.0,7531.0,-1.0,0.5,5.0,15.0,0.11838628895015146
sulfur,1000,7531,-1,sqrt,5,2,0.012805903402735536
MiamiHousing2016,1000,7531,-1,sqrt,5,6,0.09038987991237912
superconduct,1000,7531,-1,sqrt,5,10,4.0857649179096205
yprop_4_1,1000,7531,-1,sqrt,5,30,0.0176965498145
