,n_estimators,random_state,n_jobs,max_features,min_samples_split,min_samples_leaf,se
cpu_act,1000.0,7531.0,-1.0,0.333,5.0,2.0,6.842535
pol,1000,7531,-1,sqrt,5,20,33.300182
elevators,1000.0,7531.0,-1.0,0.5,5.0,6.0,8.399291e-06
wine_quality,1000.0,7531.0,-1.0,0.333,5.0,8.0,0.42503682
Ailerons,1000.0,7531.0,-1.0,0.333,5.0,8.0,3.2851258e-08
houses,1000.0,7531.0,-1.0,0.5,5.0,4.0,0.062953494
house_16H,1000.0,7531.0,-1.0,0.333,5.0,15.0,0.37900648
diamonds,1000.0,7531.0,-1.0,0.333,5.0,30.0,0.068735875
Brazilian_houses,1000.0,7531.0,-1.0,1.0,5.0,2.0,0.004513303
Bike_Sharing_Demand,1000,7531,-1,sqrt,5,8,11487.656
house_sales,1000.0,7531.0,-1.0,0.5,5.0,6.0,0.042656798
sulfur,1000.0,7531.0,-1.0,0.333,5.0,1.0,0.0010471791
MiamiHousing2016,1000,7531,-1,sqrt,5,8,0.026965566
superconduct,1000,7531,-1,sqrt,5,10,90.636856
yprop_4_1,1000,7531,-1,sqrt,5,30,0.0012018105
